Artikelnummer;Kategorie;Artikelname;EK-Preis laut PDF (€);Verpackungseinheit;Produktfoto;PDF-Seite
ART-065;Prefilled Pod Kits;2x Lost Mary Wavi Pod - Double Apple;47.5;10 Stk.;Produktfotos/065.jpg;18
ART-066;Prefilled Pod Kits;2x Lost Mary Wavi Pod - Grape;47.5;10 Stk.;Produktfotos/066.jpg;18
ART-067;Prefilled Pod Kits;2x Lost Mary Wavi Pod - Kiwi Passion Fruit Guava;47.5;10 Stk.;Produktfotos/067.jpg;18
ART-068;Prefilled Pod Kits;2x Lost Mary Wavi Pod - Lemon Lime;47.5;10 Stk.;Produktfotos/068.jpg;19
ART-069;Prefilled Pod Kits;2x Lost Mary Wavi Pod - Lemon Mint;47.5;10 Stk.;Produktfotos/069.jpg;19
ART-070;Prefilled Pod Kits;2x Lost Mary Wavi Pod - Maryturbo;47.5;10 Stk.;Produktfotos/070.jpg;19
ART-071;Prefilled Pod Kits;2x Lost Mary Wavi Pod - Menthol;47.5;10 Stk.;Produktfotos/071.jpg;19
ART-072;Prefilled Pod Kits;2x Lost Mary Wavi Pod - Mix Berries;47.5;10 Stk.;Produktfotos/072.jpg;20
ART-073;Prefilled Pod Kits;2x Lost Mary Wavi Pod - Peach Ice;47.5;10 Stk.;Produktfotos/073.jpg;20
ART-074;Prefilled Pod Kits;2x Lost Mary Wavi Pod - Pink Lemonade;47.5;10 Stk.;Produktfotos/074.jpg;20
ART-075;Prefilled Pod Kits;2x Lost Mary Wavi Pod - Raspberry Watermelon;47.5;10 Stk.;Produktfotos/075.jpg;20
ART-076;Prefilled Pod Kits;2x Lost Mary Wavi Pod - Strawberry Ice;47.5;10 Stk.;Produktfotos/076.jpg;21
ART-077;Prefilled Pod Kits;2x Lost Mary Wavi Pod - Strawberry Raspberry Cherry Ice;47.5;10 Stk.;Produktfotos/077.jpg;21
ART-078;Prefilled Pod Kits;2x Lost Mary Wavi Pod - Triple Mango;47.5;10 Stk.;Produktfotos/078.jpg;21
ART-079;Prefilled Pod Kits;2x Lost Mary Wavi Pod - Tropical Fruit;47.5;10 Stk.;Produktfotos/079.jpg;21
ART-080;Prefilled Pod Kits;2x Lost Mary Wavi Pod - Watermelon;47.5;10 Stk.;Produktfotos/080.jpg;22
ART-081;Prefilled Pod Kits;2x Lost Mary Wavi Pod - Wild Orange;47.5;10 Stk.;Produktfotos/081.jpg;22
ART-082;Prefilled Pod Kits;2x Elfbar ELFA Pod - Raspberry Peach;50.0;10 Stk.;Produktfotos/082.jpg;22
ART-083;Prefilled Pod Kits;2x Elfbar ELFA Pod - Vanilla White Peach;50.0;10 Stk.;Produktfotos/083.jpg;22
ART-084;Prefilled Pod Kits;2x Elfbar ELFA Pod - Triple Berries;50.0;10 Stk.;Produktfotos/084.jpg;23
ART-085;Prefilled Pod Kits;2x Elfbar ELFA Pod - Ice Tea Lemon;50.0;10 Stk.;Produktfotos/085.jpg;23
ART-086;Prefilled Pod Kits;2x Elfbar ELFA Pod - Double Mint;50.0;10 Stk.;Produktfotos/086.jpg;24
ART-087;Prefilled Pod Kits;Elfbar Elfa Turbo Pro Refillable Pod Kit;72.0;10 Stk.;Produktfotos/087.jpg;24
ART-088;Prefilled Pod Kits;2x Elfbar ELFA Pod - Blackberry Cherry;50.0;10 Stk.;Produktfotos/088.jpg;24
ART-089;Prefilled Pod Kits;2x Elfbar ELFA Pod - Frozen Berries;50.0;10 Stk.;Produktfotos/089.jpg;24
ART-090;Prefilled Pod Kits;2x Elfbar ELFA Pod - Hazelnut Coffee;50.0;10 Stk.;Produktfotos/090.jpg;25
ART-091;Prefilled Pod Kits;Elfbar ELFA Basisgerät - Limited;100.0;10 Stk.;Produktfotos/091.jpg;25
ART-092;Prefilled Pod Kits;2x Elfbar ELFA Pod - Dragon Fruit Blackberry;50.0;10 Stk.;Produktfotos/092.jpg;25
ART-093;Prefilled Pod Kits;2x Elfbar ELFA Pod - Pineapple Coconut;50.0;10 Stk.;Produktfotos/093.jpg;25
ART-094;Prefilled Pod Kits;2x Elfbar ELFA Pod - Cola & Orange;50.0;10 Stk.;Produktfotos/094.jpg;26
ART-095;Prefilled Pod Kits;Elfbar Elfa Turbo Refillable Pod Kit;60.0;10 Stk.;Produktfotos/095.jpg;26
ART-096;Prefilled Pod Kits;2x Elfbar ELFA Pod - Blackberry Lemon;50.0;10 Stk.;Produktfotos/096.jpg;26
ART-097;Prefilled Pod Kits;2x Elfbar ELFA Pod - Golden Tobacco;50.0;10 Stk.;Produktfotos/097.jpg;26
ART-098;Prefilled Pod Kits;2x Elfbar ELFA Pod - Strawberry Ice;50.0;10 Stk.;Produktfotos/098.jpg;27
ART-099;Prefilled Pod Kits;2x Elfbar ELFA Pod - Menthol;50.0;10 Stk.;Produktfotos/099.jpg;27
ART-100;Prefilled Pod Kits;2x Elfbar ELFA Pod - Grape Ice;50.0;10 Stk.;Produktfotos/100.jpg;27
ART-101;Prefilled Pod Kits;2x Elfbar Elfa Turbo Refillable Pod;32.0;10 Stk.;Produktfotos/101.jpg;27
ART-102;Prefilled Pod Kits;2x Elfbar ELFA Pod - Watermelon;50.0;10 Stk.;Produktfotos/102.jpg;28
ART-103;Prefilled Pod Kits;2x Elfbar ELFA Pod - Tropical Fruit;50.0;10 Stk.;Produktfotos/103.jpg;28
ART-104;Prefilled Pod Kits;2x Elfbar ELFA Pod - Peach Ice;50.0;10 Stk.;Produktfotos/104.jpg;28
ART-105;Prefilled Pod Kits;2x Elfbar ELFA Pod - Mix Berries;50.0;10 Stk.;Produktfotos/105.jpg;28
ART-106;Prefilled Pod Kits;2x Elfbar ELFA Pod - Kiwi Passion Fruit Guava;50.0;10 Stk.;Produktfotos/106.jpg;29
ART-107;Prefilled Pod Kits;2x Elfbar ELFA Pod - Cherry;50.0;10 Stk.;Produktfotos/107.jpg;29
ART-108;Prefilled Pod Kits;2x Elfbar ELFA Pod - Blueberry;50.0;10 Stk.;Produktfotos/108.jpg;29
ART-109;Prefilled Pod Kits;2x Elfbar ELFA Pod - Apple Peach;50.0;10 Stk.;Produktfotos/109.jpg;29
ART-110;Prefilled Pod Kits;2x Elfbar ELFA Pod - Watermelon Cherry;50.0;10 Stk.;Produktfotos/110.jpg;30
ART-111;Prefilled Pod Kits;2x Elfbar ELFA Pod - Blackberry Ice;50.0;10 Stk.;Produktfotos/111.jpg;30
ART-112;Prefilled Pod Kits;2x Elfbar ELFA Pod - Lemon Mint;50.0;10 Stk.;Produktfotos/112.jpg;30
ART-113;Prefilled Pod Kits;2x Elfbar ELFA Refillable Pod;32.0;10 Stk.;Produktfotos/113.jpg;30
ART-114;Prefilled Pod Kits;2x Lost Mary TAPPO Prefilled Pod - Watermelon Cherry;42.0;10 Stk.;Produktfotos/114.jpg;31
ART-115;Prefilled Pod Kits;2x Lost Mary TAPPO Prefilled Pod - Marystorm;42.0;10 Stk.;Produktfotos/115.jpg;31
ART-116;Prefilled Pod Kits;2x Lost Mary TAPPO Prefilled Pod - Watermelon Mojito;42.0;10 Stk.;Produktfotos/116.jpg;31
ART-117;Prefilled Pod Kits;2x Lost Mary TAPPO Prefilled Pod - Watermelon;42.0;10 Stk.;Produktfotos/117.jpg;31
ART-118;Prefilled Pod Kits;Lost Mary TAPPO Basisgerät;38.0;10 Stk.;Produktfotos/118.jpg;32
ART-119;Prefilled Pod Kits;2x Elfbar ELFA Pod - Strawberry Raspberry;50.0;10 Stk.;Produktfotos/119.jpg;32
ART-120;Prefilled Pod Kits;2x Elfbar ELFA Pod - Strawberry Kiwi;50.0;10 Stk.;Produktfotos/120.jpg;32
ART-121;Prefilled Pod Kits;2x Elfbar ELFA Pod - Pink Lemonade;50.0;10 Stk.;Produktfotos/121.jpg;32
ART-122;Prefilled Pod Kits;2x Elfbar ELFA Pod - Blueberry Sour Raspberry;50.0;10 Stk.;Produktfotos/122.jpg;33
ART-123;Prefilled Pod Kits;2x Elfbar ELFA Pod - Blue Razz Lemonade;50.0;10 Stk.;Produktfotos/123.jpg;33
ART-124;Prefilled Pod Kits;2x Elfbar ELFA Pod - Cola;50.0;10 Stk.;Produktfotos/124.jpg;33
ART-125;Prefilled Pod Kits;2x Elfbar ELFA Pod - Mango;50.0;10 Stk.;Produktfotos/125.jpg;33
ART-126;Prefilled Pod Kits;2x Elfbar ELFA Pod - Blueberry Snoow (ehem. Berry Snoow);50.0;10 Stk.;Produktfotos/126.jpg;34
ART-127;Prefilled Pod Kits;2x Elfbar ELFA Pod - Strawberry Grape;50.0;10 Stk.;Produktfotos/127.jpg;34
ART-128;Prefilled Pod Kits;Elfbar ELFA Basisgerät;38.0;10 Stk.;Produktfotos/128.jpg;35
ART-129;ELFLIQ by Elfbar;ELFBAR ELFLIQ Dragon Fruit Blackberry Nikotinsalz Liquid 10 ml;55.5;10 Stk.;Produktfotos/129.jpg;36
ART-130;ELFLIQ by Elfbar;ELFBAR ELFLIQ Cactus Ice Nikotinsalz Liquid 10 ml;55.5;10 Stk.;Produktfotos/130.jpg;36
ART-131;ELFLIQ by Elfbar;ELFBAR ELFLIQ Frozen Berries Nikotinsalz Liquid 10 ml;55.5;10 Stk.;Produktfotos/131.jpg;37
ART-132;ELFLIQ by Elfbar;ELFBAR ELFLIQ Coconut Blueberry Nikotinsalz Liquid 10 ml;55.5;10 Stk.;Produktfotos/132.jpg;37
ART-133;ELFLIQ by Elfbar;ELFBAR ELFLIQ Pineapple Coconut Nikotinsalz Liquid 10 ml;55.5;10 Stk.;Produktfotos/133.jpg;37
ART-134;ELFLIQ by Elfbar;ELFBAR ELFLIQ Lemon Mint Nikotinsalz Liquid 10 ml;55.5;10 Stk.;Produktfotos/134.jpg;37
ART-135;ELFLIQ by Elfbar;ELFBAR ELFLIQ Blackberry Cherry Nikotinsalz Liquid 10 ml;55.5;10 Stk.;Produktfotos/135.jpg;38
ART-136;ELFLIQ by Elfbar;ELFBAR ELFLIQ Tropical Fruit Nikotinsalz Liquid 10 ml;55.5;10 Stk.;Produktfotos/136.jpg;38
ART-137;ELFLIQ by Elfbar;ELFBAR ELFLIQ Mix Berries Nikotinsalz Liquid 10 ml;55.5;10 Stk.;Produktfotos/137.jpg;38
ART-138;ELFLIQ by Elfbar;ELFBAR ELFLIQ Menthol Nikotinsalz Liquid 10 ml;55.5;10 Stk.;Produktfotos/138.jpg;38
ART-139;ELFLIQ by Elfbar;ELFBAR ELFLIQ Blackberry Ice Nikotinsalz Liquid 10 ml;55.5;10 Stk.;Produktfotos/139.jpg;39
ART-140;ELFLIQ by Elfbar;ELFBAR ELFLIQ Strawberry Raspberry Cherry Ice Nikotinsalz Liquid 10 ml;55.5;10 Stk.;Produktfotos/140.jpg;39
ART-141;ELFLIQ by Elfbar;ELFBAR ELFLIQ Sour Apple Nikotinsalz Liquid 10 ml;55.5;10 Stk.;Produktfotos/141.jpg;39
ART-142;ELFLIQ by Elfbar;ELFBAR ELFLIQ Pineapple Mango Orange Nikotinsalz Liquid 10 ml;55.5;10 Stk.;Produktfotos/142.jpg;39
ART-143;ELFLIQ by Elfbar;ELFBAR ELFLIQ Blackberry Lemon Nikotinsalz Liquid 10 ml;55.5;10 Stk.;Produktfotos/143.jpg;40
ART-144;ELFLIQ by Elfbar;ELFBAR ELFLIQ Cherry Cola Nikotinsalz Liquid 10 ml;55.5;10 Stk.;Produktfotos/144.jpg;40
ART-145;ELFLIQ by Elfbar;ELFBAR ELFLIQ Mango Nikotinsalz Liquid 10 ml;55.5;10 Stk.;Produktfotos/145.jpg;40
ART-146;ELFLIQ by Elfbar;ELFBAR ELFLIQ Spearmint Nikotinsalz Liquid 10 ml;55.5;10 Stk.;Produktfotos/146.jpg;40
ART-147;ELFLIQ by Elfbar;ELFBAR ELFLIQ Blue Razz Lemonade Nikotinsalz Liquid 10 ml;55.5;10 Stk.;Produktfotos/147.jpg;41
ART-148;ELFLIQ by Elfbar;ELFBAR ELFLIQ Kiwi Passion Fruit Guava Nikotinsalz Liquid 10 ml;55.5;10 Stk.;Produktfotos/148.jpg;41
ART-149;ELFLIQ by Elfbar;ELFBAR ELFLIQ Cola Nikotinsalz Liquid 10 ml;55.5;10 Stk.;Produktfotos/149.jpg;41
